UAI,Etablissement,Type,Rentrée,Lien Bilan Social / Rapport Social Unique,HC.Format.HeuresEuros,Heures.HeE,Heures.HeC,Heures.HeCT,Heures.HeCV,Dotations.doten,Dotations.aapen,Dotations.dotre,Dotations.aapre,Dotations.vieet
0134009M,Aix-Marseille,Université,2016,,Heures,,NA,NA,NA,,,,,
0134009M,Aix-Marseille,Université,2017,,Heures,,NA,NA,NA,,,,,
0490970N,Angers,Université,2014,,Heures,,125060,52989,72071,,,,,
0490970N,Angers,Université,2015,,Heures,,126905,56909,69996,,,,,
0490970N,Angers,Université,2016,,Heures,,135010,60907,74103,,,,,
0490970N,Angers,Université,2017,,Heures,,139800,63406,76394,,,,,
0490970N,Angers,Université,2018,,Heures,,137154,62523,74632,,,,,
0490970N,Antilles,Université,2018,,Heures,,NA,NA,NA,,,,,
0333298F,Bordeaux,Université,2014,,Heures,,201198,110438,90760,,,,,
0333298F,Bordeaux,Université,2015,,Heures,,239966,125935,114031,,,,,
0333298F,Bordeaux,Université,2016,,Heures,,240476,128353,112123,,,,,
0333298F,Bordeaux,Université,2017,,Heures,,220309,113475,106834,,,,,
0333298F,Bordeaux,Université,2018,,Heures,,220889,109539,111350,,,,,
0333298F,Bordeaux,Université,2019,,Heures,,227554,113113,114441,,,,,
,Bordeaux 1,Université,2010,,Heures,,NA,NA,NA,,,,,
,Bordeaux 2,Université,2010,,Heures,,NA,NA,NA,,,,,
,Bordeaux 4,Université,2009,,Heures,,NA,NA,NA,,,,,
,Bordeaux Segalen,Université,2011,,Heures,,NA,NA,NA,,,,,
0211237F,Bourgogne,Université,2013,,Heures,,171525,93824,77701,,,,,
0211237F,Bourgogne,Université,2014,,Heures,,172639,92155,80484,,,,,
0211237F,Bourgogne,Université,2015,,Heures,,172195,87318,84877,,,,,
0211237F,Bourgogne,Université,2016,,Heures,,179454,92959,86495,,,,,
0211237F,Bourgogne,Université,2017,,Heures,,175283,87088,88195,,,,,
0211237F,Bourgogne,Université,2018,,Heures,,166633,79508,87125,,,,,
0290346U,Brest,Université,2006,,Heures,,NA,NA,NA,,,,,
0561718N,Bretagne Sud,Université,2017,,Heures,,NA,NA,NA,,,,,
0561718N,Bretagne Sud,Université,2018,,Heures,,NA,NA,NA,,,,,
0561718N,Bretagne Sud,Université,2019,,Heures,,NA,NA,NA,,,,,
0141408E,Caen,Université,2019,,Heures,,197513,86906,110607,,,,,
0632035V,Clermont,Université,2017,,Heures,,NA,NA,NA,,,,,
7200664J,Corse,Université,2017,,Heures,,NA,NA,NA,,,,,
7200664J,Corse,Université,2018,,Heures,,NA,NA,NA,,,,,
7200664J,Corse,Université,2019,,Heures,,NA,NA,NA,,,,,
0911975C,Evry,Université,2012,,Heures,,134124,NA,NA,,,,,
0911975C,Evry,Université,2013,,Heures,,126766,NA,NA,,,,,
0911975C,Evry,Université,2014,,Heures,,118968,NA,NA,,,,,
0911975C,Evry,Université,2015,,Heures,,115424,NA,NA,,,,,
0911975C,Evry,Université,2016,,Heures,,119149,41566,77583,,,,,
0251215K,Franche-Comte,Université,2011,,Heures,,,,,,,,,
0251215K,Franche-Comte,Université,2012,,Heures,,,,,,,,,
0251215K,Franche-Comte,Université,2013,,Heures,,NA,NA,NA,,,,,
0251215K,Franche-Comte,Université,2014,,Heures,,NA,NA,NA,,,,,
0251215K,Franche-Comte,Université,2015,,Heures,,NA,NA,NA,,,,,
0251215K,Franche-Comte,Université,2016,,Heures,,NA,NA,NA,,,,,
0251215K,Franche-Comte,Université,2017,,Heures,,NA,NA,NA,,,,,
0251215K,Franche-Comte,Université,2018,,Heures,,NA,NA,NA,,,,,
0251215K,Franche-Comte,Université,2019,,Heures,,,,,,,,,
0772502B,Gustave Eiffel - Paris Est,Université,2017,,Heures,,89493,27760,61733,,,,,
0772502B,Gustave Eiffel - Paris Est,Université,2018,,Heures,,100459,33534,66925,,,,,
0772502B,Gustave Eiffel - Paris Est,Université,2019,,Heures,,92004,28257,63747,,,,,
0681166Y,Haute Alsace,Université,2018,,Heures,,94691,46517,48174,,,,,
9740478B,La Reunion,Université,2003,,Heures,,NA,NA,NA,,,,,
9740478B,La Reunion,Université,2004,,Heures,,NA,NA,NA,,,,,
9740478B,La Reunion,Université,2005,,Heures,,NA,NA,NA,,,,,
9740478B,La Reunion,Université,2008,,Heures,,NA,NA,NA,,,,,
9740478B,La Reunion,Université,2009,,Heures,,NA,NA,NA,,,,,
9740478B,La Reunion,Université,2010,,Heures,,78832,NA,NA,,,,,
9740478B,La Reunion,Université,2011,,Heures,,80400,NA,NA,,,,,
9740478B,La Reunion,Université,2012,,Heures,,80493,NA,NA,,,,,
9740478B,La Reunion,Université,2013,,Heures,,83832,NA,NA,,,,,
9740478B,La Reunion,Université,2014,,Heures,,81027,NA,NA,,,,,
9740478B,La Reunion,Université,2015,,Heures,,80911,NA,NA,,,,,
9740478B,La Reunion,Université,2016,,Heures,,63425,NA,NA,,,,,
9740478B,La Reunion,Université,2018,,Heures,,72664,NA,NA,,,,,
0171463Y,La Rochelle,Université,2015,,Heures,,54640,26374,28266,,,,,
0171463Y,La Rochelle,Université,2016,,Heures,,58722,29083,29639,,,,,
0171463Y,La Rochelle,Université,2017,,Heures,,55669,27228,28441,,,,,
0171463Y,La Rochelle,Université,2018,,Heures,,60081,28032,30613,,,,,
0762762P,Le Havre,Université,2009,,Heures,,66871,NA,NA,,,,,
0762762P,Le Havre,Université,2010,,Heures,,66717,NA,NA,,,,,
0762762P,Le Havre,Université,2013,,Heures,,58902,NA,NA,,,,,
0762762P,Le Havre,Université,2014,,Heures,,61275,NA,NA,,,,,
0762762P,Le Havre,Université,2015,,Heures,,63958,NA,NA,,,,,
0762762P,Le Havre,Université,2016,,Heures,,66054,NA,NA,,,,,
0762762P,Le Havre,Université,2017,,Heures,,67948,NA,NA,,,,,
0762762P,Le Havre,Université,2018,,Heures,,67644,NA,NA,,,,,
0762762P,Le Mans,Université,2014,,Heures,,72503,32462,40041,,,,,
0762762P,Le Mans,Université,2015,,Heures,,69123,31685,37438,,,,,
0762762P,Le Mans,Université,2016,,Heures,,70861,33058,37803,,,,,
0762762P,Le Mans,Université,2017,,Heures,,69866,34807,35059,,,,,
0762762P,Le Mans,Université,2018,,Heures,,70246,34953,35293,,,,,
,Lettres Sorbonne,Université,2013,,Heures,,NA,NA,NA,,,,,
,Lettres Sorbonne,Université,2015,,Heures,,NA,NA,NA,,,,,
0597065J,Lille,Université,2018,,Heures,,392528,197177,195352,,,,,
,Lille 1,Université,2013,,Heures,,,,,,,,,
,Lille 1,Université,2016,,Heures,,163292,NA,NA,,,,,
,Lille 2,Université,2016,,Heures,,117153,NA,NA,,,,,
,Lille 3,Université,2016,,Heures,,88405,NA,NA,,,,,
0870669E,Limoges,Université,2017,,Heures,,120888,55497,65391,,,,,
0870669E,Limoges,Université,2018,,Heures,,119469,54671,64798,,,,,
0542493S,Lorraine,Université,2014,,Euros,,15201974,7951497,7250477,,,,,
0542493S,Lorraine,Université,2015,,Euros,,15506173,8134696,7371477,,,,,
0542493S,Lorraine,Université,2016,,Euros,,16129642,8325140,7804501,,,,,
0542493S,Lorraine,Université,2017,,Euros,,16219952,8323231,7896721,,,,,
0542493S,Lorraine,Université,2018,,Euros,,16708141,8200912,8507229,,,,,
0542493S,Lorraine,Université,2019,,Euros,,20072514,10146336,9926178,,,,,
0542493S,Lorraine,Université,2020,,Euros,,19365999,10266720,9099279,,,,,
0691774D,Lyon 1,Université,2002,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2002-1133511448358_1428930210337-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2003,https://www.univ-lyon1.fr/medias/fichier/bilan-social2003-1133511087590_1428930187672-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2004,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2004-1134716668967_1428930171456-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2005,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2005_1428930072641-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2006,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2006_1428930050221-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2007,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2007_1428930031964-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2008,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2008_1428930012359-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2009,https://www.univ-lyon1.fr/medias/fichier/bilansocial-2009_1428927435766-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2010,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2010_1428927421528-pdf,Heures,,NA,NA,NA,,,,,
0691774D,Lyon 1,Université,2011,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2011_1428927411008-pdf,Heures,,187928,94419,93509,,,,,
0691774D,Lyon 1,Université,2012,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2012_1428927399873-pdf,Heures,,206281,101991,104290,,,,,
0691774D,Lyon 1,Université,2013,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2013-_1455879868751-pdf,Heures,,211390,108068,103322,,,,,
0691774D,Lyon 1,Université,2014,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2014_1455879658960-pdf,Heures,,219047,112983,106064,,,,,
0691774D,Lyon 1,Université,2015,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2015-_1475158492668-pdf,Heures,,223787,119150,104637,,,,,
0691774D,Lyon 1,Université,2016,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2016_1501225973553-pdf,Heures,,231174,125168,106006,,,,,
0691774D,Lyon 1,Université,2017,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2017_1539329445262-pdf,Heures,,236224,126765,109459,,,,,
0691774D,Lyon 1,Université,2018,https://www.univ-lyon1.fr/medias/fichier/bilan-social-2018_1569503269493-pdf,Heures,,245229,129910,115319,,,,,
0691775E,Lyon 2,Université,2018,,Heures,,NA,NA,95556,,,,,
0692437Z,Lyon 3,Université,2013,,Heures,,116066,NA,NA,,,,,
0692437Z,Lyon 3,Université,2014,,Heures,,120455,NA,NA,,,,,
0692437Z,Lyon 3,Université,2015,,Heures,,120156,NA,NA,,,,,
0692437Z,Lyon 3,Université,2016,,Heures,,124459,NA,NA,,,,,
0692437Z,Lyon 3,Université,2017,,Heures,,126423,NA,NA,,,,,
0692437Z,Lyon 3,Université,2018,,Heures,,125970,NA,NA,,,,,
0692437Z,Lyon 3,Université,2019,,Heures,,118404,NA,NA,,,,,
0341089Z,Montpellier,Université,2014,,Heures,,79540,31853,47687,,,,,
0341089Z,Montpellier,Université,2015,,Heures,,83876,36997,46879,,,,,
0341089Z,Montpellier,Université,2016,,Heures,,88113,40283,47830,,,,,
0341089Z,Montpellier,Université,2017,,Heures,,88855,39267,49588,,,,,
0341089Z,Montpellier,Université,2018,,Heures,,85960,39973,45987,,,,,
0921204J,Nanterre,Université,2014,,Heures,,NA,NA,96664,,,,,
0921204J,Nanterre,Université,2016,,Heures,,NA,NA,97196,,,,,
0440984F,Nantes,Université,2004,,Heures,,222916,89048,133868,,,,,
0440984F,Nantes,Université,2005,,Heures,,183866,77556,106310,,,,,
0440984F,Nantes,Université,2006,,Heures,,198423,88264,110159,,,,,
0440984F,Nantes,Université,2007,,Heures,,200452,88227,112224,,,,,
0440984F,Nantes,Université,2008,,Heures,,213411,99196,114215,,,,,
0440984F,Nantes,Université,2009,,Heures,,261950,108385,152565,,,,,
0440984F,Nantes,Université,2010,,Heures,,255901,122785,133117,,,,,
0440984F,Nantes,Université,2011,,Heures,,256755,123865,132889,,,,,
0440984F,Nantes,Université,2012,,Heures,,234493,104694,129788,,,,,
0440984F,Nantes,Université,2013,,Heures,,216306,97572,118733,,,,,
0440984F,Nantes,Université,2014,,Heures,,220914,102519,118395,,,,,
0440984F,Nantes,Université,2015,,Heures,,249876,115443,134433,,,,,
0440984F,Nantes,Université,2016,,Heures,,237782,111765,126017,,,,,
0440984F,Nantes,Université,2017,,Heures,,254729,124014,130715,,,,,
0440984F,Nantes,Université,2018,,Heures,,250211,123578,126633,,,,,
0301687W,Nimes,Université,2015,,Heures,,31371,5073,26298,,,,,
0301687W,Nimes,Université,2016,,Heures,,34181,9060,25121,,,,,
0301687W,Nimes,Université,2017,,Heures,,33260,8601,24659,,,,,
0450855K,Orleans,Université,2009,,Heures,,122440,55402,67038,,,,,
0450855K,Orleans,Université,2010,,Heures,,133495,64296,69199,,,,,
0751717J,Paris 1 - Pantheon Sorbonne,Université,2014,,Heures,,NA,NA,NA,,,,,
0751717J,Paris 1 - Pantheon Sorbonne,Université,2016,,Heures,,134502,30535,103967,,,,,
0751719L,Paris 3,Université,2012,,Heures,,NA,NA,NA,,,,,
0751719L,Paris 3,Université,2013,,Heures,,NA,NA,NA,,,,,
0751719L,Paris 3,Université,2014,,Heures,,NA,NA,NA,,,,,
0751719L,Paris 3,Université,2015,,Heures,,118256,62556,55700,,,,,
0751719L,Paris 3,Université,2016,,Heures,,123546,69257,54289,,,,,
0931827F,Paris 8,Université,2019,,Heures,,118851,75370,43481,,,,,
0931238R,Paris 13,Université,2014,,Heures,,NA,52792,NA,,,,,
0941111X,Paris Est Creteil,Université,2011,,Heures,,258893,NA,NA,,,,,
0941111X,Paris Est Creteil,Université,2012,,Heures,,233656,NA,NA,,,,,
0941111X,Paris Est Creteil,Université,2013,,Heures,,217430,NA,NA,,,,,
0941111X,Paris Est Creteil,Université,2014,,Heures,,221820,119163,115990,,,,,
0941111X,Paris Est Creteil,Université,2015,,Heures,,220693,118036,102657,,,,,
0941111X,Paris Est Creteil,Université,2016,,Heures,,234929,130664,104265,,,,,
0941111X,Paris Est Creteil,Université,2017,,Heures,,240729,137097,103632,,,,,
0941111X,Paris Est Creteil,Université,2018,,Heures,,245374,143309,102065,,,,,
0640251A,Pau,Université,2018,,Heures,,90542,40068,50474,,,,,
0660437S,Perpignan,Université,2012,,Heures,,NA,NA,NA,,,,,
0660437S,Perpignan,Université,2013,,Heures,,NA,NA,NA,,,,,
0660437S,Perpignan,Université,2014,,Heures,,NA,NA,NA,,,,,
0660437S,Perpignan,Université,2015,,Heures,,NA,NA,NA,,,,,
0660437S,Perpignan,Université,2016,,Heures,,NA,NA,NA,,,,,
0660437S,Perpignan,Université,2017,,Heures,,NA,NA,NA,,,,,
0660437S,Perpignan,Université,2018,,Heures,,NA,NA,NA,,,,,
0660437S,Perpignan,Université,2019,,Heures,,NA,NA,NA,,,,,
0801344B,Picardie,Université,2015,,Heures,,NA,NA,NA,,,,,
0801344B,Picardie,Université,2016,,Heures,,NA,NA,NA,,,,,
0801344B,Picardie,Université,2017,,Heures,,NA,NA,NA,,,,,
0801344B,Picardie,Université,2018,,Heures,,NA,NA,NA,,,,,
0860856N,Poitiers,Université,2013,,Heures,,NA,NA,NA,,,,,
0860856N,Poitiers,Université,2014,,Heures,,NA,NA,NA,,,,,
0860856N,Poitiers,Université,2015,,Heures,,NA,NA,NA,,,,,
0860856N,Poitiers,Université,2016,,Heures,,NA,NA,NA,,,,,
0860856N,Poitiers,Université,2017,,Heures,,NA,NA,NA,,,,,
0860856N,Poitiers,Université,2018,,Heures,,NA,NA,NA,,,,,
9840349G,Polynesie francaise,Université,2012,,Heures,,NA,NA,NA,,,,,
9840349G,Polynesie francaise,Université,2013,,Heures,,NA,NA,NA,,,,,
9840349G,Polynesie francaise,Université,2014,,Heures,,NA,NA,NA,,,,,
9840349G,Polynesie francaise,Université,2015,,Heures,,NA,NA,NA,,,,,
9840349G,Polynesie francaise,Université,2016,,Heures,,NA,NA,NA,,,,,
9840349G,Polynesie francaise,Université,2017,,Heures,,NA,NA,NA,,,,,
0511296G,Reims,Université,2013,,Heures,,145006,NA,NA,,,,,
0511296G,Reims,Université,2014,,Heures,,152222,77372,74850,,,,,
0511296G,Reims,Université,2017,,Heures,,160198,72225,87973,,,,,
0511296G,Reims,Université,2018,,Heures,,160473,74892,85581,,,,,
0350936C,Rennes 1,Université,2018,,Heures,,143876,68618,75257,,,,,
0350937D,Rennes 2,Université,2006,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2010,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2011,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2012,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2013,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2014,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2015,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2016,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2017,,Heures,,NA,NA,NA,,,,,
0350937D,Rennes 2,Université,2018,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2011,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2012,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2013,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2014,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2015,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2016,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2017,,Heures,,NA,NA,NA,,,,,
0761904G,Rouen,Université,2018,,Heures,,NA,NA,NA,,,,,
0730858L,Savoie Mont-Blanc,Université,2012,,Heures,,NA,NA,NA,,,,,
0730858L,Savoie Mont-Blanc,Université,2014,,Heures,,NA,NA,NA,,,,,
0730858L,Savoie Mont-Blanc,Université,2015,,Heures,,143102,70646,72269,,,,,
0730858L,Savoie Mont-Blanc,Université,2016,,Heures,,147215,73958,73187,,,,,
0730858L,Savoie Mont-Blanc,Université,2017,,Heures,,152045,77919,74126,,,,,
0730858L,Savoie Mont-Blanc,Université,2018,,Heures,,159863,84454,75409,,,,,
0730858L,Savoie Mont-Blanc,Université,2019,,Heures,,167985,89123,78861,,,,,
0755890V,Sorbonne Université,Université,2018,,Heures,,NA,NA,NA,,,,,
0421095M,St Etienne,Université,2003,,Heures,,NA,NA,NA,,,,,
0421095M,St Etienne,Université,2007,,Heures,,NA,NA,NA,,,,,
0421095M,St Etienne,Université,2010,,Heures,,119871,54647,65224,,,,,
0421095M,St Etienne,Université,2011,,Heures,,121296,58378,62918,,,,,
0421095M,St Etienne,Université,2012,,Heures,,124444,58754,65690,,,,,
0421095M,St Etienne,Université,2013,,Heures,,129962,62327,67635,,,,,
0421095M,St Etienne,Université,2014,,Heures,,135915,64424,71490,,,,,
0421095M,St Etienne,Université,2015,,Heures,,136979,63396,73583,,,,,
0421095M,St Etienne,Université,2016,,Heures,,147952,64826,83126,,,,,
0421095M,St Etienne,Université,2017,,Heures,,151930,70668,81262,,,,,
0421095M,St Etienne,Université,2018,,Heures,,153934,63282,90652,,,,,
0673021V,Strasbourg,Université,2011,,Heures,,280575,125340,155235,11459196,NA,5285000,NA,2105830
0673021V,Strasbourg,Université,2012,,Heures,,268477,117858,150619,10467676,NA,5020750,NA,2221060
0673021V,Strasbourg,Université,2013,,Heures,,251744,107314,144430,9568813,NA,7570000,NA,2225480
0673021V,Strasbourg,Université,2014,,Heures,,256506,111496,145010,7619443,NA,6028860,NA,1984085
0673021V,Strasbourg,Université,2015,,Heures,,263465,117885,145580,6560866,NA,4851464,NA,1803438
0673021V,Strasbourg,Université,2016,,Heures,,272743,127102,145641,6080334,1300000,5000000,1300000,1829610
0673021V,Strasbourg,Université,2017,,Heures,,282040,131434,150606,6526317,1300000,5000000,1300000,1829610
0673021V,Strasbourg,Université,2018,,Heures,,294636,139378,155258,6908075,1200000,5000000,1200000,2192374
0673021V,Strasbourg,Université,2019,,Heures,,305767,149899,155868,6874970,1000000,5000000,1000000,2022039
0673021V,Strasbourg,Université,2020,,Heures,,NA,NA,NA,6975953,600000,5200000,600000,2365950
0673021V,Strasbourg,Université,2021,,Heures,,NA,NA,NA,6975953,300000,5200000,300000,3222800
0830766G,Toulon,Université,2009,,Heures,,NA,NA,NA,,,,,
0830766G,Toulon,Université,2010,,Heures,,NA,NA,NA,,,,,
0830766G,Toulon,Université,2012,,Heures,,85703,NA,NA,,,,,
0830766G,Toulon,Université,2014,,Heures,,71167,NA,NA,,,,,
0830766G,Toulon,Université,2015,,Heures,,68745,NA,NA,,,,,
0830766G,Toulon,Université,2016,,Heures,,74031,NA,NA,,,,,
0830766G,Toulon,Université,2017,,Heures,,79273,NA,NA,,,,,
0830766G,Toulon,Université,2018,,Heures,,84184,NA,NA,,,,,
0311382J,Toulouse 1,Université,2010,,Heures,,66478,22672,43806,,,,,
0311382J,Toulouse 1,Université,2011,,Heures,,63921,22477,41444,,,,,
0311382J,Toulouse 1,Université,2012,,Heures,,72087,25467,46620,,,,,
0311382J,Toulouse 1,Université,2014,,Heures,,104617,44026,60591,,,,,
0311382J,Toulouse 1,Université,2015,,Heures,,107036,42188,64848,,,,,
0311382J,Toulouse 1,Université,2016,,Heures,,108033,43929,64104,,,,,
0311382J,Toulouse 1,Université,2017,,Heures,,106194,43427,62767,,,,,
0311382J,Toulouse 1,Université,2018,,Heures,,110079,46712,63367,,,,,
0311384L,Toulouse 3,Université,2017,,Heures,,NA,NA,NA,,,,,
0311384L,Toulouse 3,Université,2018,,Heures,,NA,NA,NA,,,,,
0370800U,Tours,Université,2013,,Heures,,NA,NA,NA,,,,,
0370800U,Tours,Université,2014,,Heures,,NA,NA,NA,,,,,
0370800U,Tours,Université,2015,,Heures,,NA,NA,NA,,,,,
0370800U,Tours,Université,2016,,Heures,,132105,58046,74060,,,,,
0370800U,Tours,Université,2017,,Heures,,124211,58157,66054,,,,,
0370800U,Tours,Université,2018,,Heures,,115831,46660,69171,,,,,
0623957P,Univ Artois,Université,2014,,Heures,,126412,NA,NA,,,,,
0623957P,Univ Artois,Université,2015,,Heures,,123012,NA,NA,,,,,
0623957P,Univ Artois,Université,2016,,Heures,,142259,NA,NA,,,,,
0623957P,Univ Artois,Université,2017,,Heures,,139686,NA,NA,,,,,
0623957P,Univ Artois,Université,2018,,Heures,,121319,NA,NA,,,,,
0623957P,Univ Artois,Université,2019,,Heures,,122777,NA,NA,,,,,
0781944P,Versailles,Université,2014,,Heures,,NA,NA,75681,,,,,
0781944P,Versailles,Université,2015,,Heures,,NA,NA,67394,,,,,
0781944P,Versailles,Université,2016,,Heures,,NA,NA,63348,,,,,
0781944P,Versailles,Université,2018,,Heures,,NA,NA,59763,,,,,